,0,titles,urls
0,SamWorthington ZoeSaldana SigourneyWeaver StephenLangAction Adventure Fantasy ScienceFictioncultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3dIngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainmentUnitedStatesofAmerica UnitedKingdom,avatar,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.dGo6smoSycScR4KoCrBv4wHaEK%26pid%3D15.1&f=1
1,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgårdAdventure Fantasy Actionocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstingerWaltDisneyPictures JerryBruckheimerFilms SecondMateProductionsUnitedStatesofAmerica,pirates of the caribbean: at world's end,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.CMuK4Tw-I-E6i4B18-5UgQHaLG%26pid%3D15.1&f=1
2,DanielCraig ChristophWaltz LéaSeydoux RalphFiennesAction Adventure Crimespy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdomColumbiaPictures Danjaq B24UnitedKingdom UnitedStatesofAmerica,spectre,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.wnTEJmREYsa1eKr8sPszAQHaEK%26pid%3D15.1&f=1
3,ChristianBale MichaelCaine GaryOldman AnneHathawayAction Crime Drama Thrillerdccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batmanLegendaryPictures WarnerBros. DCEntertainment SyncopyUnitedStatesofAmerica,the dark knight rises,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.ejtCEeTdWoFk3kou8A2ArAHaKy%26pid%3D15.1&f=1
4,TaylorKitsch LynnCollins SamanthaMorton WillemDafoeAction Adventure ScienceFictionbasedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3dWaltDisneyPicturesUnitedStatesofAmerica,john carter,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.9aPn2HwDYrZqzAGBjicONwHaE7%26pid%3D15.1&f=1
5,TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurchFantasy Action Adventuredualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revengeColumbiaPictures LauraZiskinProductions MarvelEnterprisesUnitedStatesofAmerica,spider-man 3,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.QdumWff9U4qBBqJoUD7_hAHaLH%26pid%3D15.1&f=1
6,ZacharyLevi MandyMoore DonnaMurphy RonPerlmanAnimation Familyhostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekickWaltDisneyPictures WaltDisneyAnimationStudiosUnitedStatesofAmerica,tangled,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.GKI3QvKIllonaG-A7DkZ_gHaKl%26pid%3D15.1&f=1
7,RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvansAction Adventure ScienceFictionmarvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3dMarvelStudios PrimeFocus RevolutionSunStudiosUnitedStatesofAmerica,avengers: age of ultron,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.i_Pbx0TIruqaTd-_O1yglgHaEo%26pid%3D15.1&f=1
8,DanielRadcliffe RupertGrint EmmaWatson TomFeltonAdventure Fantasy Familywitch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolfWarnerBros. HeydayFilmsUnitedKingdom UnitedStatesofAmerica,harry potter and the half-blood prince,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.rFb0ksmGyqcKGG4sU4tXgAHaLa%26pid%3D15.1&f=1
9,BenAffleck HenryCavill GalGadot AmyAdamsAction Adventure Fantasydccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverseDCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainmentUnitedStatesofAmerica,batman v superman: dawn of justice,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.tuhC1ZSW_Tv-YEmc7eBKjwHaLG%26pid%3D15.1&f=1
