,genres
0,Action Adventure Fantasy ScienceFiction
1,Adventure Fantasy Action
2,Action Adventure Crime
3,Action Crime Drama Thriller
4,Action Adventure ScienceFiction
5,Fantasy Action Adventure
6,Animation Family
7,Action Adventure ScienceFiction
8,Adventure Fantasy Family
9,Action Adventure Fantasy
10,Adventure Fantasy Action ScienceFiction
11,Adventure Action Thriller Crime
12,Adventure Fantasy Action
13,Action Adventure Western
14,Action Adventure Fantasy ScienceFiction
15,Adventure Family Fantasy
16,ScienceFiction Action Adventure
17,Adventure Action Fantasy
18,Action Comedy ScienceFiction
19,Action Adventure Fantasy
20,Action Adventure Fantasy
21,Action Adventure
22,Adventure Fantasy
23,Adventure Fantasy
24,Adventure Drama Action
25,Drama Romance Thriller
26,Adventure Action ScienceFiction
27,Thriller Action Adventure ScienceFiction
28,Action Adventure ScienceFiction Thriller
29,Action Adventure Thriller
30,Action Adventure Fantasy
31,Action Adventure ScienceFiction
32,Family Fantasy Adventure
33,Adventure Action ScienceFiction Thriller
34,Animation Family
35,ScienceFiction Action Adventure
36,ScienceFiction Action Adventure
37,Fantasy Adventure Family
38,Action Adventure Fantasy
39,Adventure Action ScienceFiction
40,Animation Family Adventure Comedy
41,Adventure Action Thriller ScienceFiction
42,Animation Family Comedy
43,Action ScienceFiction Thriller
44,Action
45,Action Drama Horror ScienceFiction Thriller
46,Action Adventure Fantasy ScienceFiction
47,Action Adventure ScienceFiction
48,Action Family Fantasy
49,Drama Romance
50,Adventure Fantasy Action Romance
51,Action ScienceFiction Adventure
52,Action ScienceFiction Adventure
53,Adventure Action
54,Adventure Animation Family
55,Animation Adventure Comedy Family Action Fantasy
56,Action Adventure ScienceFiction
57,Animation Family
58,Action Comedy Crime Thriller
59,Action Adventure ScienceFiction
60,Animation Drama
61,ScienceFiction Fantasy Action Adventure
62,Action Adventure
63,Adventure Family Fantasy
64,ScienceFiction
65,Drama Action Crime Thriller
66,Animation Comedy Family Adventure
67,Animation Family Adventure ScienceFiction
68,Action ScienceFiction Adventure
69,Adventure Drama Family
70,Action Adventure Comedy ScienceFiction Western
71,Adventure Action Fantasy
72,Action Adventure Crime Fantasy ScienceFiction
73,Fantasy Comedy Family
74,Action ScienceFiction
75,Adventure Action
76,Adventure Action Thriller ScienceFiction
77,Drama Comedy Animation Family
78,Family Adventure Drama Fantasy
79,Adventure Action ScienceFiction
80,Adventure Fantasy Drama
81,Fantasy Adventure Action Family Romance
82,ScienceFiction Action Drama Thriller
83,Action Adventure ScienceFiction Romance
84,Drama Action Adventure Fantasy
85,Action Adventure ScienceFiction
86,Comedy Adventure Fantasy Animation Family
87,Adventure Family Mystery ScienceFiction
88,Adventure Family Animation Action Comedy
89,Family Animation Comedy Adventure
90,Adventure Animation Family Fantasy
91,Action Adventure ScienceFiction
92,Fantasy Adventure Animation Family
93,Action Thriller ScienceFiction
94,Action ScienceFiction Adventure
95,Adventure Drama ScienceFiction
96,Action Thriller ScienceFiction Mystery Adventure
97,Adventure Fantasy Action
98,Action Crime Thriller
99,Fantasy Drama Thriller Mystery Romance
100,Action ScienceFiction Adventure
101,Action Adventure ScienceFiction
102,Fantasy Adventure Action Comedy Drama
103,Adventure Action Drama Thriller
104,Fantasy
105,Fantasy Adventure Animation Comedy Family
106,Action Adventure Fantasy
107,ScienceFiction Action Thriller Adventure
108,Adventure Family Fantasy
109,History Romance War
110,Adventure ScienceFiction Action
111,War History Action Adventure Drama Romance
112,Adventure Fantasy Family Mystery
113,Adventure Fantasy Family
114,Fantasy Action
115,Drama Horror Action Thriller ScienceFiction
116,Adventure Comedy Family Fantasy
117,Animation Comedy Family Fantasy
118,Action Crime Drama
119,Family Animation
120,Adventure Fantasy Action Comedy Family
121,Adventure Action Thriller ScienceFiction
122,Adventure Action Thriller ScienceFiction
123,Animation Adventure Family
124,Adventure Action Thriller ScienceFiction
125,Action Adventure Fantasy
126,Action Adventure ScienceFiction Thriller
127,Thriller Mystery
128,Adventure Fantasy Action
129,Animation Family Adventure Comedy
130,Fantasy Action Adventure Family Comedy
131,Adventure
132,Comedy Fantasy
133,Action Adventure Thriller
134,Drama Horror Thriller
135,Family Animation Adventure Comedy
136,Animation Family
137,Action Adventure Family Fantasy
138,Adventure Action Thriller
139,Action Drama Thriller
140,Adventure Animation Family
141,Adventure Animation Comedy Family
142,Adventure Family Fantasy
143,Animation Adventure Family
144,Adventure Drama War
145,Animation Family
146,Adventure Action Thriller
147,Action Fantasy Comedy
148,Action Thriller ScienceFiction Adventure
149,Action Adventure Comedy ScienceFiction
150,Adventure Action Animation
151,Action Adventure Animation Comedy Family
152,Action Thriller Adventure
153,Fantasy Animation Family
154,Comedy
155,Drama Action War History
156,Adventure Drama Action
157,ScienceFiction Action Adventure
158,Fantasy Action
159,Fantasy Action Adventure Animation Comedy Family
160,Fantasy
161,Action
162,Action Mystery ScienceFiction
163,Action Adventure Comedy Crime Thriller
164,Drama Action ScienceFiction
165,Adventure Action ScienceFiction Thriller
166,Action Adventure Comedy Drama Mystery
167,Adventure Action Animation Fantasy ScienceFiction Thriller
168,Action Adventure ScienceFiction
169,Adventure Action Thriller
170,Adventure
171,Adventure Fantasy Drama Romance
172,Animation Comedy Family
173,ScienceFiction Action Adventure
174,Adventure Family Fantasy
175,Western Drama Adventure Thriller
176,Animation Family
177,Animation Comedy Family Western Adventure
178,Family Animation Adventure Comedy
179,Action Drama Mystery Thriller
180,Adventure Animation Family Comedy
181,ScienceFiction Action Adventure
