,cast,genres,keywords,production_companies,production_countries,title
0,SamWorthington ZoeSaldana SigourneyWeaver StephenLang,Action Adventure Fantasy ScienceFiction,cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainment,UnitedStatesofAmerica UnitedKingdom,Avatar
1,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård,Adventure Fantasy Action,ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions,UnitedStatesofAmerica,Pirates of the Caribbean: At World's End
2,DanielCraig ChristophWaltz LéaSeydoux RalphFiennes,Action Adventure Crime,spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom,ColumbiaPictures Danjaq B24,UnitedKingdom UnitedStatesofAmerica,Spectre
3,ChristianBale MichaelCaine GaryOldman AnneHathaway,Action Crime Drama Thriller,dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman,LegendaryPictures WarnerBros. DCEntertainment Syncopy,UnitedStatesofAmerica,The Dark Knight Rises
4,TaylorKitsch LynnCollins SamanthaMorton WillemDafoe,Action Adventure ScienceFiction,basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d,WaltDisneyPictures,UnitedStatesofAmerica,John Carter
5,TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurch,Fantasy Action Adventure,dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge,ColumbiaPictures LauraZiskinProductions MarvelEnterprises,UnitedStatesofAmerica,Spider-Man 3
6,ZacharyLevi MandyMoore DonnaMurphy RonPerlman,Animation Family,hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick,WaltDisneyPictures WaltDisneyAnimationStudios,UnitedStatesofAmerica,Tangled
7,RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvans,Action Adventure ScienceFiction,marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d,MarvelStudios PrimeFocus RevolutionSunStudios,UnitedStatesofAmerica,Avengers: Age of Ultron
8,DanielRadcliffe RupertGrint EmmaWatson TomFelton,Adventure Fantasy Family,witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf,WarnerBros. HeydayFilms,UnitedKingdom UnitedStatesofAmerica,Harry Potter and the Half-Blood Prince
9,BenAffleck HenryCavill GalGadot AmyAdams,Action Adventure Fantasy,dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse,DCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainment,UnitedStatesofAmerica,Batman v Superman: Dawn of Justice
10,BrandonRouth KevinSpacey KateBosworth JamesMarsden,Adventure Fantasy Action ScienceFiction,savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor,DCComics LegendaryPictures WarnerBros. BadHatHarryProductions,UnitedStatesofAmerica,Superman Returns
11,DanielCraig OlgaKurylenko MathieuAmalric JudiDench,Adventure Action Thriller Crime,killing undercover secretagent britishsecretservice,EonProductions,UnitedKingdom UnitedStatesofAmerica,Quantum of Solace
12,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård,Adventure Fantasy Action,witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions,Jamaica UnitedStatesofAmerica Bahamas Dominica,Pirates of the Caribbean: Dead Man's Chest
13,JohnnyDepp ArmieHammer WilliamFichtner HelenaBonhamCarter,Action Adventure Western,texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto,WaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMedia,UnitedStatesofAmerica,The Lone Ranger
14,HenryCavill AmyAdams MichaelShannon KevinCostner,Action Adventure Fantasy ScienceFiction,savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse,LegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilms,UnitedKingdom UnitedStatesofAmerica,Man of Steel
15,BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynes,Adventure Family Fantasy,basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld,WaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios,CzechRepublic Poland Slovenia UnitedStatesofAmerica,The Chronicles of Narnia: Prince Caspian
16,RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworth,ScienceFiction Action Adventure,newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,ParamountPictures MarvelStudios,UnitedStatesofAmerica,The Avengers
