,0,title
0,SamWorthington ZoeSaldana SigourneyWeaver StephenLangAction Adventure Fantasy ScienceFictioncultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3dIngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainmentUnitedStatesofAmerica UnitedKingdom,Avatar
1,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgårdAdventure Fantasy Actionocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstingerWaltDisneyPictures JerryBruckheimerFilms SecondMateProductionsUnitedStatesofAmerica,Pirates of the Caribbean: At World's End
2,DanielCraig ChristophWaltz LéaSeydoux RalphFiennesAction Adventure Crimespy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdomColumbiaPictures Danjaq B24UnitedKingdom UnitedStatesofAmerica,Spectre
3,ChristianBale MichaelCaine GaryOldman AnneHathawayAction Crime Drama Thrillerdccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batmanLegendaryPictures WarnerBros. DCEntertainment SyncopyUnitedStatesofAmerica,The Dark Knight Rises
4,TaylorKitsch LynnCollins SamanthaMorton WillemDafoeAction Adventure ScienceFictionbasedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3dWaltDisneyPicturesUnitedStatesofAmerica,John Carter
5,TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurchFantasy Action Adventuredualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revengeColumbiaPictures LauraZiskinProductions MarvelEnterprisesUnitedStatesofAmerica,Spider-Man 3
6,ZacharyLevi MandyMoore DonnaMurphy RonPerlmanAnimation Familyhostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekickWaltDisneyPictures WaltDisneyAnimationStudiosUnitedStatesofAmerica,Tangled
7,RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvansAction Adventure ScienceFictionmarvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3dMarvelStudios PrimeFocus RevolutionSunStudiosUnitedStatesofAmerica,Avengers: Age of Ultron
8,DanielRadcliffe RupertGrint EmmaWatson TomFeltonAdventure Fantasy Familywitch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolfWarnerBros. HeydayFilmsUnitedKingdom UnitedStatesofAmerica,Harry Potter and the Half-Blood Prince
9,BenAffleck HenryCavill GalGadot AmyAdamsAction Adventure Fantasydccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverseDCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainmentUnitedStatesofAmerica,Batman v Superman: Dawn of Justice
10,BrandonRouth KevinSpacey KateBosworth JamesMarsdenAdventure Fantasy Action ScienceFictionsavingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthorDCComics LegendaryPictures WarnerBros. BadHatHarryProductionsUnitedStatesofAmerica,Superman Returns
11,DanielCraig OlgaKurylenko MathieuAmalric JudiDenchAdventure Action Thriller Crimekilling undercover secretagent britishsecretserviceEonProductionsUnitedKingdom UnitedStatesofAmerica,Quantum of Solace
12,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgårdAdventure Fantasy Actionwitch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstingerWaltDisneyPictures JerryBruckheimerFilms SecondMateProductionsJamaica UnitedStatesofAmerica Bahamas Dominica,Pirates of the Caribbean: Dead Man's Chest
13,JohnnyDepp ArmieHammer WilliamFichtner HelenaBonhamCarterAction Adventure Westerntexas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tontoWaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMediaUnitedStatesofAmerica,The Lone Ranger
14,HenryCavill AmyAdams MichaelShannon KevinCostnerAction Adventure Fantasy ScienceFictionsavingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverseLegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilmsUnitedKingdom UnitedStatesofAmerica,Man of Steel
15,BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynesAdventure Family Fantasybasedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworldWaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudiosCzechRepublic Poland Slovenia UnitedStatesofAmerica,The Chronicles of Narnia: Prince Caspian
16,RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworthScienceFiction Action Adventurenewyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverseParamountPictures MarvelStudiosUnitedStatesofAmerica,The Avengers
17,JohnnyDepp PenélopeCruz IanMcShane KevinMcNallyAdventure Action Fantasysea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3dWaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC)UnitedStatesofAmerica,Pirates of the Caribbean: On Stranger Tides
