,production_companies
0,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainment
1,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions
2,ColumbiaPictures Danjaq B24
3,LegendaryPictures WarnerBros. DCEntertainment Syncopy
4,WaltDisneyPictures
5,ColumbiaPictures LauraZiskinProductions MarvelEnterprises
6,WaltDisneyPictures WaltDisneyAnimationStudios
7,MarvelStudios PrimeFocus RevolutionSunStudios
8,WarnerBros. HeydayFilms
9,DCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainment
10,DCComics LegendaryPictures WarnerBros. BadHatHarryProductions
11,EonProductions
12,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions
13,WaltDisneyPictures JerryBruckheimerFilms InfinitumNihil SilverBulletProductions(II) BlindWinkProductions ClassicMedia
14,LegendaryPictures WarnerBros. DCEntertainment Syncopy CruelandUnusualFilms
15,WaltDisney WaldenMedia StillkingFilms OzumiFilms Propeler SilverbellFilms RevolutionSunStudios
16,ParamountPictures MarvelStudios
17,WaltDisneyPictures JerryBruckheimerFilms MovingPictureCompany(MPC)
18,AmblinEntertainment MediaMagikEntertainment ImagenationAbuDhabiFZ HemisphereMediaCapital Parkes/MacDonaldProductions
19,WingNutFilms NewLineCinema WarnerBros.Pictures 3Foot7 Metro-Goldwyn-Mayer(MGM)
20,ColumbiaPictures LauraZiskinProductions MarvelEntertainment
21,ImagineEntertainment UniversalPictures ScottFreeProductions RelativityMedia
22,WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM)
23,NewLineCinema IngeniousFilmPartners DepthofField ScholasticProductions
24,WingNutFilms UniversalPictures BigPrimatePictures MFPVFilm
25,ParamountPictures TwentiethCenturyFoxFilmCorporation LightstormEntertainment
26,StudioBabelsberg MarvelStudios WaltDisneyStudiosMotionPictures Vita-RayDutchProductions(III) DeluxeDigitalStudios
27,UniversalPictures Hasbro BluegrassFilms Film44
28,UniversalStudios AmblinEntertainment LegendaryPictures FujiTelevisionNetwork Dentsu
29,ColumbiaPictures
30,ColumbiaPictures LauraZiskinProductions MarvelEnterprises
31,MarvelStudios
32,WaltDisneyPictures TeamTodd TimBurtonProductions RothFilms ZanuckCompany The
33,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment MajorStudioPartners BadHatHarryProductions thinkfilm MarvelEnterprises X3CanadaProductions X3USProductions XM3Service
34,WaltDisneyPictures PixarAnimationStudios
35,ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes HasbroStudios RevolutionSunStudios
36,ParamountPictures AmblinEntertainment DiBonaventuraPictures PlatinumDunes ChinaMovieChannel HasbroStudios IanBryceProductions RevolutionSunStudios
37,WaltDisneyPictures RothFilms
38,ColumbiaPictures MarvelEnterprises AviAradProductions MattTolmachProductions
39,WaltDisneyPictures LivePlanet PranaStudios SeanBaileyProductions RevolutionSunStudios KontseptFilmCompany
40,WaltDisneyPictures PixarAnimationStudios
41,DeLinePictures WarnerBros. DCEntertainment
42,WaltDisneyPictures PixarAnimationStudios
43,ColumbiaPictures TheHalcyonCompany WonderlandSoundandVision WarnerBros.
44,UniversalPictures OriginalFilm FujiTelevisionNetwork Dentsu OneRaceFilms ChinaFilmCo. QuébecProductionServicesTaxCredit MediaRightsCapital(MRC) AbuDhabiFilmCommission ColoradoOfficeofFilm Television&Media
45,ParamountPictures GKFilms SkydanceProductions HemisphereMediaCapital ApparatusProductions LatinaPictures 2DUX²
46,TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment DownProductions RevolutionSunStudios
47,ParamountPictures SkydanceProductions BadRobot Kurtzman/Orci
48,NewLineCinema OriginalFilm LegendaryPictures WarnerBros. BigKidPictures BadHatHarryProductions
49,VillageRoadshowPictures BazmarkFilms WarnerBros. A&ETelevisionNetworks RedWagonEntertainment SpectrumFilms
50,WaltDisneyPictures JerryBruckheimerFilms
51,LegendaryPictures WarnerBros. DisneyDoubleDareYou(DDY) IndochinaProductions
52,ParamountPictures DiBonaventuraPictures IndochinaProductions HasbroStudios
53,Lucasfilm ParamountPictures
54,WaltDisneyPictures PixarAnimationStudios
55,WaltDisneyPictures PixarAnimationStudios
56,ParamountPictures BadRobot PerfectStormEntertainment AlibabaPicturesGroup SkydanceMedia SneakyShark HuahuaMedia
57,WaltDisneyPictures PixarAnimationStudios FortyFourStudios
58,NewLineCinema
59,ColumbiaPictures CentropolisEntertainment TheMarkGordonCompany FarewellProductions
60,WaltDisney ImageMovers
61,VillageRoadshowPictures DuneEntertainment AnarchosProductions WarnerBros.
62,VillageRoadshowPictures DarkHorseEntertainment JerryWeintraubProductions RatPac-DuneEntertainment BeaglePugFilms RicheProductions VillageRoadshowFilmsNorthAmerica
63,WaltDisney WaldenMedia
64,TwentiethCenturyFoxFilmCorporation Donners'Company MarvelEntertainment BadHatHarryProductions TSGEntertainment KinbergGenre
65,DCComics LegendaryPictures WarnerBros. DCEntertainment Syncopy
66,PixarAnimationStudios
67,DreamWorksAnimation
68,MarvelStudios
69,ParamountPictures InfinitumNihil GKFilms
70,Todman Simon LeMastersProductions WarnerBros. PetersEntertainment SonnenfeldJosephsonWorldwideEntertainment
71,UniversalPictures ChinaFilmCo-ProductionCorporation RelativityMedia AlphavilleFilms SommersCompany The
72,DCComics DuneEntertainment AtlasEntertainment WarnerBros. DCEntertainment
73,ColumbiaPictures UniversalPictures SpyglassEntertainment ShadyAcresEntertainment OriginalFilm Playtone RelativityMedia
74,VillageRoadshowPictures WarnerBros. VizMedia ProvinceofBritishColumbiaProductionServicesTaxCredit 3ArtsEntertainment RatPac-DuneEntertainment
75,UniversalPictures GordonCompany DavisEntertainment Licht/MuellerFilmCorporation
76,ParamountPictures SpyglassEntertainment DiBonaventuraPictures Hasbro KontseptFilmCompany
77,WaltDisneyPictures PixarAnimationStudios
78,WaltDisneyPictures WaltDisneyStudiosMotionPictures FairviewEntertainment MovingPictureCompany(MPC)
79,MarvelStudios
80,UniversalPictures RothFilms
81,WaltDisneyPictures WaltDisneyStudiosMotionPictures RothFilms
82,IngeniousMedia CherninEntertainment TSGEntertainment
83,Corsan BlissMedia LimelightInternationalMediaEntertainment NeelmudraEntertainment AristosFilms SingularityProductions Wildkite
84,MidAtlanticFilms StuberProductions Universal MovingPictureCompany(MPC) H2FEntertainment
85,MarvelStudios
86,DreamWorksAnimation
87,WaltDisneyPictures Babieka A113
88,WaltDisneyPictures WaltDisneyAnimationStudios
89,WaltDisneyAnimationStudios
90,GoldenMean Playtone ImageMovers
91,TwentiethCenturyFoxFilmCorporation CentropolisEntertainment TSGEntertainment StereoD
92,DreamWorksAnimation VertigoEntertainment MadHatterEntertainment
93,ColumbiaPictures IntermediaFilms WarnerBros. C-2Pictures IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG Mostow/LiebermanProductions
94,MarvelStudios MovingPictureCompany(MPC) BulletproofCupid RevolutionSunStudios
95,ParamountPictures LegendaryPictures WarnerBros. Syncopy LyndaObstProductions
96,LegendaryPictures WarnerBros. Syncopy
97,WingNutFilms NewLineCinema WarnerBros.Pictures Metro-Goldwyn-Mayer(MGM)
98,UniversalPictures OriginalFilm ArdustryEntertainment MediastreamFilmGmbH&Co.ProductionsKG
99,ParamountPictures WarnerBros. Kennedy/MarshallCompany The
100,IngeniousFilmPartners IngeniousMedia TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment DuneEntertainmentIII MarvelEntertainment BadHatHarryProductions BigScreenProductions
101,StudioBabelsberg Lionsgate ColorForce
102,WaltDisneyPictures JerryBruckheimerFilms SaturnFilms BrokenRoadProductions JunctionEntertainment
103,VirtualStudios NextEntertainment WarnerBros. IrwinAllenProductions RadiantProductions SynthesisEntertainment
104,WaltDisneyPictures TeamTodd TimBurtonProductions RothFilms Legend3D
105,DreamWorksSKG DreamWorksAnimation
106,UniversalPictures AtlasEntertainment LegendaryPictures BlizzardEntertainment
107,ParamountPictures AnnapurnaPictures SkydanceMedia
108,DuneEntertainment Fox2000Pictures WaldenMedia
109,JerryBruckheimerFilms TouchstonePictures
110,ParamountPictures DreamWorksSKG AmblinEntertainment DiBonaventuraPictures PlatinumDunes thinkfilm SprocketHeads HasbroStudios RevolutionSunStudios
111,France3Cinéma IntermediaFilms PathéRennProductions EgmondFilm&Television WarnerBros. PacificaFilm IMFInternationaleMedienundFilmGmbH&Co.3.ProduktionsKG WRUniversalGroup
112,WarnerBros. HeydayFilms
113,PatalexIVProductionsLimited WarnerBros. HeydayFilms
114,ColumbiaPictures WeedRoadPictures ForwardPass RelativityMedia OverbrookEntertainment BlueLight GHThree
115,VillageRoadshowPictures OriginalFilm WeedRoadPictures WarnerBros. HeydayFilms OverbrookEntertainment
116,VillageRoadshowPictures TheZanuckCompany WarnerBros. TimBurtonProductions PlanBEntertainment TheobaldFilmProductions
117,WaltDisneyPictures PixarAnimationStudios
118,DCComics LegendaryPictures WarnerBros. DCEntertainment Syncopy PatalexIIIProductionsLimited
119,DreamWorksAnimation
120,TwentiethCenturyFoxFilmCorporation 1492Pictures DuneEntertainment 21LapsEntertainment MuseumCanadaProductions MovingPictureCompany(MPC)
121,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation Donners'Company DuneEntertainment SeedProductions BadHatHarryProductions BigScreenProductions MarvelEnterprises
122,VillageRoadshowPictures NPVEntertainment SilverPictures WarnerBros.
123,WaltDisneyPictures WaltDisneyAnimationStudios
124,VillageRoadshowPictures NPVEntertainment HeinekenBrandedEntertainment SilverPictures WarnerBros.
125,MarvelStudios
126,VillageRoadshowPictures KennedyMillerProductions WarnerBros.
127,ColumbiaPictures ImagineEntertainment PanoramaFilms SkylarkProductions
