,cast,genres,keywords,production_companies,production_countries,urls,titles
0,SamWorthington ZoeSaldana SigourneyWeaver StephenLang,Action Adventure Fantasy ScienceFiction,cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d,IngeniousFilmPartners TwentiethCenturyFoxFilmCorporation DuneEntertainment LightstormEntertainment,UnitedStatesofAmerica UnitedKingdom,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.dGo6smoSycScR4KoCrBv4wHaEK%26pid%3D15.1&f=1,avatar
1,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård,Adventure Fantasy Action,ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,WaltDisneyPictures JerryBruckheimerFilms SecondMateProductions,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.CMuK4Tw-I-E6i4B18-5UgQHaLG%26pid%3D15.1&f=1,pirates of the caribbean: at world's end
2,DanielCraig ChristophWaltz LéaSeydoux RalphFiennes,Action Adventure Crime,spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom,ColumbiaPictures Danjaq B24,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.wnTEJmREYsa1eKr8sPszAQHaEK%26pid%3D15.1&f=1,spectre
3,ChristianBale MichaelCaine GaryOldman AnneHathaway,Action Crime Drama Thriller,dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman,LegendaryPictures WarnerBros. DCEntertainment Syncopy,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.ejtCEeTdWoFk3kou8A2ArAHaKy%26pid%3D15.1&f=1,the dark knight rises
4,TaylorKitsch LynnCollins SamanthaMorton WillemDafoe,Action Adventure ScienceFiction,basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d,WaltDisneyPictures,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.9aPn2HwDYrZqzAGBjicONwHaE7%26pid%3D15.1&f=1,john carter
5,TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurch,Fantasy Action Adventure,dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge,ColumbiaPictures LauraZiskinProductions MarvelEnterprises,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.QdumWff9U4qBBqJoUD7_hAHaLH%26pid%3D15.1&f=1,spider-man 3
6,ZacharyLevi MandyMoore DonnaMurphy RonPerlman,Animation Family,hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick,WaltDisneyPictures WaltDisneyAnimationStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.GKI3QvKIllonaG-A7DkZ_gHaKl%26pid%3D15.1&f=1,tangled
7,RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvans,Action Adventure ScienceFiction,marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d,MarvelStudios PrimeFocus RevolutionSunStudios,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.i_Pbx0TIruqaTd-_O1yglgHaEo%26pid%3D15.1&f=1,avengers: age of ultron
8,DanielRadcliffe RupertGrint EmmaWatson TomFelton,Adventure Fantasy Family,witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf,WarnerBros. HeydayFilms,UnitedKingdom UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.rFb0ksmGyqcKGG4sU4tXgAHaLa%26pid%3D15.1&f=1,harry potter and the half-blood prince
9,BenAffleck HenryCavill GalGadot AmyAdams,Action Adventure Fantasy,dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse,DCComics AtlasEntertainment WarnerBros. DCEntertainment Cruel&UnusualFilms RatPac-DuneEntertainment,UnitedStatesofAmerica,proxy.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.tuhC1ZSW_Tv-YEmc7eBKjwHaLG%26pid%3D15.1&f=1,batman v superman: dawn of justice
