,cast
0,SamWorthington ZoeSaldana SigourneyWeaver StephenLang
1,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård
2,DanielCraig ChristophWaltz LéaSeydoux RalphFiennes
3,ChristianBale MichaelCaine GaryOldman AnneHathaway
4,TaylorKitsch LynnCollins SamanthaMorton WillemDafoe
5,TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurch
6,ZacharyLevi MandyMoore DonnaMurphy RonPerlman
7,RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvans
8,DanielRadcliffe RupertGrint EmmaWatson TomFelton
9,BenAffleck HenryCavill GalGadot AmyAdams
10,BrandonRouth KevinSpacey KateBosworth JamesMarsden
11,DanielCraig OlgaKurylenko MathieuAmalric JudiDench
12,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård
13,JohnnyDepp ArmieHammer WilliamFichtner HelenaBonhamCarter
14,HenryCavill AmyAdams MichaelShannon KevinCostner
15,BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynes
16,RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworth
17,JohnnyDepp PenélopeCruz IanMcShane KevinMcNally
18,WillSmith TommyLeeJones JoshBrolin MichaelStuhlbarg
19,MartinFreeman IanMcKellen RichardArmitage KenStott
20,AndrewGarfield EmmaStone RhysIfans DenisLeary
21,RussellCrowe CateBlanchett MaxvonSydow WilliamHurt
22,MartinFreeman IanMcKellen RichardArmitage KenStott
23,DakotaBlueRichards NicoleKidman DanielCraig SamElliott
24,NaomiWatts JackBlack AdrienBrody ThomasKretschmann
25,KateWinslet LeonardoDiCaprio FrancesFisher BillyZane
26,ChrisEvans RobertDowneyJr. ScarlettJohansson SebastianStan
27,TaylorKitsch AlexanderSkarsgård Rihanna BrooklynDecker
28,ChrisPratt BryceDallasHoward IrrfanKhan VincentD'Onofrio
29,DanielCraig JudiDench JavierBardem RalphFiennes
30,TobeyMaguire KirstenDunst JamesFranco AlfredMolina
31,RobertDowneyJr. GwynethPaltrow DonCheadle GuyPearce
32,MiaWasikowska JohnnyDepp AnneHathaway HelenaBonhamCarter
33,HughJackman HalleBerry IanMcKellen PatrickStewart
34,BillyCrystal JohnGoodman SteveBuscemi HelenMirren
35,ShiaLaBeouf MeganFox JoshDuhamel RainnWilson
36,MarkWahlberg StanleyTucci KelseyGrammer NicolaPeltz
37,JamesFranco MilaKunis RachelWeisz MichelleWilliams
38,AndrewGarfield EmmaStone JamieFoxx DaneDeHaan
39,GarrettHedlund JeffBridges OliviaWilde BruceBoxleitner
40,OwenWilson LarrytheCableGuy MichaelCaine EmilyMortimer
41,RyanReynolds BlakeLively PeterSarsgaard TimRobbins
42,TomHanks TimAllen NedBeatty JoanCusack
43,ChristianBale SamWorthington AntonYelchin MoonBloodgood
44,VinDiesel PaulWalker DwayneJohnson MichelleRodriguez
45,BradPitt MireilleEnos AbigailHargrove SterlingJerins
46,HughJackman JamesMcAvoy MichaelFassbender JenniferLawrence
47,ChrisPine ZacharyQuinto ZoeSaldana KarlUrban
48,NicholasHoult EleanorTomlinson EwanMcGregor StanleyTucci
