,genres
0,"Action,Adventure,Fantasy,Science Fiction"
1,"Adventure,Fantasy,Action"
2,"Action,Adventure,Crime"
3,"Action,Crime,Drama,Thriller"
4,"Action,Adventure,Science Fiction"
5,"Fantasy,Action,Adventure"
6,"Animation,Family"
7,"Action,Adventure,Science Fiction"
8,"Adventure,Fantasy,Family"
9,"Action,Adventure,Fantasy"
10,"Adventure,Fantasy,Action,Science Fiction"
11,"Adventure,Action,Thriller,Crime"
12,"Adventure,Fantasy,Action"
13,"Action,Adventure,Western"
14,"Action,Adventure,Fantasy,Science Fiction"
15,"Adventure,Family,Fantasy"
16,"Science Fiction,Action,Adventure"
17,"Adventure,Action,Fantasy"
18,"Action,Comedy,Science Fiction"
19,"Action,Adventure,Fantasy"
20,"Action,Adventure,Fantasy"
21,"Action,Adventure"
22,"Adventure,Fantasy"
23,"Adventure,Fantasy"
24,"Adventure,Drama,Action"
25,"Drama,Romance,Thriller"
26,"Adventure,Action,Science Fiction"
27,"Thriller,Action,Adventure,Science Fiction"
28,"Action,Adventure,Science Fiction,Thriller"
29,"Action,Adventure,Thriller"
30,"Action,Adventure,Fantasy"
31,"Action,Adventure,Science Fiction"
32,"Family,Fantasy,Adventure"
33,"Adventure,Action,Science Fiction,Thriller"
34,"Animation,Family"
35,"Science Fiction,Action,Adventure"
36,"Science Fiction,Action,Adventure"
37,"Fantasy,Adventure,Family"
38,"Action,Adventure,Fantasy"
39,"Adventure,Action,Science Fiction"
40,"Animation,Family,Adventure,Comedy"
41,"Adventure,Action,Thriller,Science Fiction"
42,"Animation,Family,Comedy"
43,"Action,Science Fiction,Thriller"
44,Action
45,"Action,Drama,Horror,Science Fiction,Thriller"
46,"Action,Adventure,Fantasy,Science Fiction"
47,"Action,Adventure,Science Fiction"
48,"Action,Family,Fantasy"
49,"Drama,Romance"
50,"Adventure,Fantasy,Action,Romance"
51,"Action,Science Fiction,Adventure"
52,"Action,Science Fiction,Adventure"
53,"Adventure,Action"
54,"Adventure,Animation,Family"
55,"Animation,Adventure,Comedy,Family,Action,Fantasy"
56,"Action,Adventure,Science Fiction"
57,"Animation,Family"
58,"Action,Comedy,Crime,Thriller"
59,"Action,Adventure,Science Fiction"
60,"Animation,Drama"
61,"Science Fiction,Fantasy,Action,Adventure"
62,"Action,Adventure"
63,"Adventure,Family,Fantasy"
64,Science Fiction
65,"Drama,Action,Crime,Thriller"
66,"Animation,Comedy,Family,Adventure"
67,"Animation,Family,Adventure,Science Fiction"
68,"Action,Science Fiction,Adventure"
69,"Adventure,Drama,Family"
70,"Action,Adventure,Comedy,Science Fiction,Western"
71,"Adventure,Action,Fantasy"
72,"Action,Adventure,Crime,Fantasy,Science Fiction"
73,"Fantasy,Comedy,Family"
74,"Action,Science Fiction"
75,"Adventure,Action"
76,"Adventure,Action,Thriller,Science Fiction"
77,"Drama,Comedy,Animation,Family"
78,"Family,Adventure,Drama,Fantasy"
79,"Adventure,Action,Science Fiction"
80,"Adventure,Fantasy,Drama"
81,"Fantasy,Adventure,Action,Family,Romance"
82,"Science Fiction,Action,Drama,Thriller"
83,"Action,Adventure,Science Fiction,Romance"
84,"Drama,Action,Adventure,Fantasy"
85,"Action,Adventure,Science Fiction"
86,"Comedy,Adventure,Fantasy,Animation,Family"
87,"Adventure,Family,Mystery,Science Fiction"
88,"Adventure,Family,Animation,Action,Comedy"
89,"Family,Animation,Comedy,Adventure"
90,"Adventure,Animation,Family,Fantasy"
91,"Action,Adventure,Science Fiction"
92,"Fantasy,Adventure,Animation,Family"
93,"Action,Thriller,Science Fiction"
94,"Action,Science Fiction,Adventure"
95,"Adventure,Drama,Science Fiction"
96,"Action,Thriller,Science Fiction,Mystery,Adventure"
97,"Action,Adventure,Drama,Horror,Science Fiction"
98,"Adventure,Fantasy,Action"
99,"Action,Crime,Thriller"
100,"Fantasy,Drama,Thriller,Mystery,Romance"
101,"Action,Science Fiction,Adventure"
102,"Action,Adventure,Science Fiction"
103,"Fantasy,Adventure,Action,Comedy,Drama"
104,"Adventure,Action,Drama,Thriller"
105,Fantasy
106,"Fantasy,Adventure,Animation,Comedy,Family"
107,"Action,Adventure,Fantasy"
108,"Science Fiction,Action,Thriller,Adventure"
109,"Adventure,Family,Fantasy"
110,"History,Romance,War"
111,"Adventure,Science Fiction,Action"
112,"War,History,Action,Adventure,Drama,Romance"
113,"Adventure,Fantasy,Family,Mystery"
114,"Adventure,Fantasy,Family"
115,"Fantasy,Action"
116,"Drama,Horror,Action,Thriller,Science Fiction"
117,"Adventure,Comedy,Family,Fantasy"
118,"Animation,Comedy,Family,Fantasy"
119,"Action,Crime,Drama"
120,"Family,Animation"
121,"Adventure,Fantasy,Action,Comedy,Family"
122,"Adventure,Action,Thriller,Science Fiction"
123,"Adventure,Action,Thriller,Science Fiction"
124,"Animation,Adventure,Family"
125,"Adventure,Action,Thriller,Science Fiction"
126,"Action,Adventure,Fantasy"
127,"Action,Adventure,Science Fiction,Thriller"
128,"Thriller,Mystery"
129,"Adventure,Fantasy,Action"
130,"Animation,Family,Adventure,Comedy"
131,"Fantasy,Action,Adventure,Family,Comedy"
132,Adventure
133,"Comedy,Fantasy"
134,"Action,Adventure,Thriller"
135,"Drama,Horror,Thriller"
136,"Family,Animation,Adventure,Comedy"
137,"Animation,Family"
138,"Action,Adventure,Family,Fantasy"
139,"Adventure,Action,Thriller"
140,"Action,Drama,Thriller"
141,"Adventure,Animation,Family"
142,"Adventure,Animation,Comedy,Family"
