,keywords
0,"culture clash,future,space war,space colony,society,space travel,futuristic,romance,space,alien,tribe,alien planet,cgi,marine,soldier,battle,love affair,anti war,power relations,mind and soul,3d"
1,"ocean,drug abuse,exotic island,east india trading company,love of one's life,traitor,shipwreck,strong woman,ship,alliance,calypso,afterlife,fighter,pirate,swashbuckler,aftercreditsstinger"
2,"spy,based on novel,secret agent,sequel,mi6,british secret service,united kingdom"
3,"dc comics,crime fighter,terrorist,secret identity,burglar,hostage drama,time bomb,gotham city,vigilante,cover-up,superhero,villainess,tragic hero,terrorism,destruction,catwoman,cat burglar,imax,flood,criminal underworld,batman"
4,"based on novel,mars,medallion,space travel,princess,alien,steampunk,martian,escape,edgar rice burroughs,alien race,superhuman strength,mars civilization,sword and planet,19th century,3d"
5,"dual identity,amnesia,sandstorm,love of one's life,forgiveness,spider,wretch,death of a friend,egomania,sand,narcism,hostility,marvel comic,sequel,superhero,revenge"
6,"hostage,magic,horse,fairy tale,musical,princess,animation,tower,blonde woman,selfishness,healing power,based on fairy tale,duringcreditsstinger,healing gift,animal sidekick"
7,"marvel comic,sequel,superhero,based on comic book,vision,superhero team,duringcreditsstinger,marvel cinematic universe,3d"
8,"witch,magic,broom,school of witchcraft,wizardry,apparition,teenage crush,werewolf"
9,"dc comics,vigilante,superhero,based on comic book,revenge,super powers,clark kent,bruce wayne,dc extended universe"
10,"saving the world,dc comics,invulnerability,sequel,superhero,based on comic book,kryptonite,super powers,superhuman strength,lex luthor"
11,"killing,undercover,secret agent,british secret service"
12,"witch,fortune teller,bondage,exotic island,monster,captain,card game,east india trading company,compass,ship,daughter,pirate,swashbuckler,aftercreditsstinger"
13,"texas,horse,survivor,texas ranger,partner,outlaw,escape,lawyer,train,lone ranger,comanche,the lone ranger,tonto"
14,"saving the world,dc comics,superhero,based on comic book,superhuman,alien invasion,reboot,super powers,dc extended universe"
15,"based on novel,fictional place,brother sister relationship,lion,human being,wretch,leap in time,matter of life and death,faith,uncle,narnia,fantasy world"
16,"new york,shield,marvel comic,superhero,based on comic book,alien invasion,superhero team,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe"
17,"sea,captain,mutiny,sword,prime minister,sailing,silver,ship,duke,mermaid,pirate,soldier,battle,swashbuckler,aftercreditsstinger,3d"
18,"time travel,time machine,alien,fictional government agency,seeing the future,changing history"
19,"corruption,elves,dwarves,orcs,middle-earth (tolkien),hobbit,dragon,battle,unlikely friendship,epic battle,sword and sorcery"
20,"loss of father,vigilante,serum,marvel comic,scientific experiment,spider bite,masked vigilante,reboot,super powers,genetic engineering,social outcast,duringcreditsstinger"
21,"robin hood,archer,knight,sherwood forest,bow and arrow,middle ages,medieval,king of england"
22,"elves,dwarves,orcs,hobbit,dragon,wizard,sword and sorcery"
23,"england,compass,experiment,lordship,uncle,polar bear,orphan,animal,based on young adult novel"
24,"film business,screenplay,show business,film making,film producer,exotic island,monster,indigenous,ship,dinosaur"
25,"shipwreck,iceberg,ship,panic,titanic,ocean liner,epic,rich woman - poor man,love,disaster,tragic love,class differences,imax,star crossed lovers,steerage,salvage,rich snob,3d,1910s"
26,"civil war,war,marvel comic,sequel,superhero,based on comic book,imax,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,3d"
27,"fight,u.s. navy,mind reading,hong kong,soccer,scientist,fictional war,naval,armada,battleship,naval combat,jds myoko,lost communication,taser,buoy,communications expert,joint chiefs of staff,crash landing,jet fighter pilot,navy lieutenant,permission to marry,uss john paul jones,based on board game,aftercreditsstinger,mighty mo,uss missouri"
28,"monster,dna,tyrannosaurus rex,velociraptor,island,sequel,suspense,disaster,escape,dinosaur,amusement park,animal attack,theme park,jurassic park,3d,animal horror"
29,"spy,secret agent,sociopath,killer,art gallery,british secret service,istanbul turkey,imax,uzi,booby trap,impersonating a police officer,macao"
30,"dual identity,love of one's life,pizza boy,marvel comic,sequel,superhero,doctor,scientist,tentacle,death,super villain"
31,"terrorist,war on terror,tennessee,malibu,marvel comic,superhero,based on comic book,tony stark,iron man,aftercreditsstinger,marvel cinematic universe,mandarin,3d,war machine,iron patriot,extremis"
32,"based on novel,fictional place,queen,fantasy,alice in wonderland,fantasy world,3d"
33,"mutant,marvel comic,based on comic book,superhuman,beast,cyclops,aftercreditsstinger"
34,"monster,dormitory,games,animation,best friend,university,scary,aftercreditsstinger"
35,"egypt,sun,chaos,symbol,artifact,transformers,tank,robot,imax,duringcreditsstinger"
36,"sequel,alien,transformers,giant robot,robot,imax,transforming robot"
37,"circus,witch,magic,hope,illusion,lost,magic trick,wizard,3d"
38,"obsession,marvel comic,sequel,based on comic book,electrocution,medical experiment,electricity,super powers"
39,"artificial intelligence,secret identity,computer program,dystopia,computer,deception,duel,motorcycle,neon light,autocracy"
40,"car race,sequel,comedy,anthropomorphism,best friend,duringcreditsstinger"
41,"dc comics,transformation,superhero,alien,alien infection,magical object,protector,super powers,origin,3d"
42,"hostage,college,toy,barbie,animation,escape,day care,teddy bear,duringcreditsstinger,toy comes to life,personification,inanimate objects coming to life,toy story"
43,"saving the world,artificial intelligence,prophecy,san francisco,cyborg,killer robot,gas station,post-apocalyptic,dystopia,army,firearm,wartime,los angeles"
44,"car race,speed,revenge,suspense,car,race,muscle car"
45,"dystopia,apocalypse,zombie,nuclear weapons,multiple perspectives,zombie apocalypse"
46,"1970s,mutant,time travel,marvel comic,based on comic book,superhuman,storm,beast,aftercreditsstinger,changing the past or future"
47,"spacecraft,friendship,sequel,futuristic,space,alien,imax,space opera,terrorist bombing,3d"
48,"based on fairy tale,giant"
49,"based on novel,infidelity,obsession,hope,3d"
50,"persia,sandstorm,brother against brother,armageddon,regent,based on video game"
51,"dystopia,giant robot,giant monster,apocalypse,imax,duringcreditsstinger,3d"
52,"moon,spacecraft,traitor,bodyguard,alien planet,based on cartoon,transformers,giant robot,sabotage,word domination,commando,duringcreditsstinger"
