,production_companies
0,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Lightstorm Entertainment"
1,"Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions"
2,"Columbia Pictures,Danjaq,B24"
3,"Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy"
4,Walt Disney Pictures
5,"Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises"
6,"Walt Disney Pictures,Walt Disney Animation Studios"
7,"Marvel Studios,Prime Focus,Revolution Sun Studios"
8,"Warner Bros.,Heyday Films"
9,"DC Comics,Atlas Entertainment,Warner Bros.,DC Entertainment,Cruel & Unusual Films,RatPac-Dune Entertainment"
10,"DC Comics,Legendary Pictures,Warner Bros.,Bad Hat Harry Productions"
11,Eon Productions
12,"Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions"
13,"Walt Disney Pictures,Jerry Bruckheimer Films,Infinitum Nihil,Silver Bullet Productions (II),Blind Wink Productions,Classic Media"
14,"Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,Cruel and Unusual Films"
15,"Walt Disney,Walden Media,Stillking Films,Ozumi Films,Propeler,Silverbell Films,Revolution Sun Studios"
16,"Paramount Pictures,Marvel Studios"
17,"Walt Disney Pictures,Jerry Bruckheimer Films,Moving Picture Company (MPC)"
18,"Amblin Entertainment,Media Magik Entertainment,Imagenation Abu Dhabi FZ,Hemisphere Media Capital,Parkes/MacDonald Productions"
19,"WingNut Films,New Line Cinema,Warner Bros. Pictures,3Foot7,Metro-Goldwyn-Mayer (MGM)"
20,"Columbia Pictures,Laura Ziskin Productions,Marvel Entertainment"
21,"Imagine Entertainment,Universal Pictures,Scott Free Productions,Relativity Media"
22,"WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM)"
23,"New Line Cinema,Ingenious Film Partners,Depth of Field,Scholastic Productions"
24,"WingNut Films,Universal Pictures,Big Primate Pictures,MFPV Film"
25,"Paramount Pictures,Twentieth Century Fox Film Corporation,Lightstorm Entertainment"
26,"Studio Babelsberg,Marvel Studios,Walt Disney Studios Motion Pictures,Vita-Ray Dutch Productions (III),Deluxe Digital Studios"
27,"Universal Pictures,Hasbro,Bluegrass Films,Film 44"
28,"Universal Studios,Amblin Entertainment,Legendary Pictures,Fuji Television Network,Dentsu"
29,Columbia Pictures
30,"Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises"
31,Marvel Studios
32,"Walt Disney Pictures,Team Todd,Tim Burton Productions,Roth Films,Zanuck Company, The"
33,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,Major Studio Partners,Bad Hat Harry Productions,thinkfilm,Marvel Enterprises,X3 Canada Productions,X3US Productions,XM3 Service"
34,"Walt Disney Pictures,Pixar Animation Studios"
35,"Paramount Pictures,DreamWorks SKG,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,Hasbro Studios,Revolution Sun Studios"
36,"Paramount Pictures,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,China Movie Channel,Hasbro Studios,Ian Bryce Productions,Revolution Sun Studios"
37,"Walt Disney Pictures,Roth Films"
38,"Columbia Pictures,Marvel Enterprises,Avi Arad Productions,Matt Tolmach Productions"
39,"Walt Disney Pictures,LivePlanet,Prana Studios,Sean Bailey Productions,Revolution Sun Studios,Kontsept Film Company"
40,"Walt Disney Pictures,Pixar Animation Studios"
41,"De Line Pictures,Warner Bros.,DC Entertainment"
42,"Walt Disney Pictures,Pixar Animation Studios"
43,"Columbia Pictures,The Halcyon Company,Wonderland Sound and Vision,Warner Bros."
44,"Universal Pictures,Original Film,Fuji Television Network,Dentsu,One Race Films,China Film Co.,Québec Production Services Tax Credit,Media Rights Capital (MRC),Abu Dhabi Film Commission,Colorado Office of Film, Television & Media"
45,"Paramount Pictures,GK Films,Skydance Productions,Hemisphere Media Capital,Apparatus Productions,Latina Pictures,2DUX²"
46,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,TSG Entertainment,Down Productions,Revolution Sun Studios"
47,"Paramount Pictures,Skydance Productions,Bad Robot,Kurtzman/Orci"
48,"New Line Cinema,Original Film,Legendary Pictures,Warner Bros.,Big Kid Pictures,Bad Hat Harry Productions"
49,"Village Roadshow Pictures,Bazmark Films,Warner Bros.,A&E Television Networks,Red Wagon Entertainment,Spectrum Films"
50,"Walt Disney Pictures,Jerry Bruckheimer Films"
51,"Legendary Pictures,Warner Bros.,Disney Double Dare You (DDY),Indochina Productions"
52,"Paramount Pictures,Di Bonaventura Pictures,Indochina Productions,Hasbro Studios"
53,"Lucasfilm,Paramount Pictures"
54,"Walt Disney Pictures,Pixar Animation Studios"
55,"Walt Disney Pictures,Pixar Animation Studios"
56,"Paramount Pictures,Bad Robot,Perfect Storm Entertainment,Alibaba Pictures Group,Skydance Media,Sneaky Shark,Huahua Media"
57,"Walt Disney Pictures,Pixar Animation Studios,FortyFour Studios"
58,New Line Cinema
59,"Columbia Pictures,Centropolis Entertainment,The Mark Gordon Company,Farewell Productions"
60,"Walt Disney,ImageMovers"
61,"Village Roadshow Pictures,Dune Entertainment,Anarchos Productions,Warner Bros."
62,"Village Roadshow Pictures,Dark Horse Entertainment,Jerry Weintraub Productions,RatPac-Dune Entertainment,Beagle Pug Films,Riche Productions,Village Roadshow Films North America"
63,"Walt Disney,Walden Media"
64,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,TSG Entertainment,Kinberg Genre"
65,"DC Comics,Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy"
66,Pixar Animation Studios
67,DreamWorks Animation
68,Marvel Studios
69,"Paramount Pictures,Infinitum Nihil,GK Films"
70,"Todman, Simon, LeMasters Productions,Warner Bros.,Peters Entertainment,Sonnenfeld Josephson Worldwide Entertainment"
71,"Universal Pictures,China Film Co-Production Corporation,Relativity Media,Alphaville Films,Sommers Company, The"
72,"DC Comics,Dune Entertainment,Atlas Entertainment,Warner Bros.,DC Entertainment"
73,"Columbia Pictures,Universal Pictures,Spyglass Entertainment,Shady Acres Entertainment,Original Film,Playtone,Relativity Media"
74,"Village Roadshow Pictures,Warner Bros.,Viz Media,Province of British Columbia Production Services Tax Credit,3 Arts Entertainment,RatPac-Dune Entertainment"
75,"Universal Pictures,Gordon Company,Davis Entertainment,Licht/Mueller Film Corporation"
76,"Paramount Pictures,Spyglass Entertainment,Di Bonaventura Pictures,Hasbro,Kontsept Film Company"
77,"Walt Disney Pictures,Pixar Animation Studios"
78,"Walt Disney Pictures,Walt Disney Studios Motion Pictures,Fairview Entertainment,Moving Picture Company (MPC)"
79,Marvel Studios
80,"Universal Pictures,Roth Films"
81,"Walt Disney Pictures,Walt Disney Studios Motion Pictures,Roth Films"
82,"Ingenious Media,Chernin Entertainment,TSG Entertainment"
83,"Corsan,Bliss Media,Limelight International Media Entertainment,Neelmudra Entertainment,Aristos Films,Singularity Productions,Wildkite"
84,"Mid Atlantic Films,Stuber Productions,Universal,Moving Picture Company (MPC),H2F Entertainment"
85,Marvel Studios
86,DreamWorks Animation
87,"Walt Disney Pictures,Babieka,A113"
88,"Walt Disney Pictures,Walt Disney Animation Studios"
89,Walt Disney Animation Studios
90,"Golden Mean,Playtone,ImageMovers"
91,"Twentieth Century Fox Film Corporation,Centropolis Entertainment,TSG Entertainment,Stereo D"
92,"DreamWorks Animation,Vertigo Entertainment,Mad Hatter Entertainment"
93,"Columbia Pictures,Intermedia Films,Warner Bros.,C-2 Pictures,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,Mostow/Lieberman Productions"
94,"Marvel Studios,Moving Picture Company (MPC),Bulletproof Cupid,Revolution Sun Studios"
95,"Paramount Pictures,Legendary Pictures,Warner Bros.,Syncopy,Lynda Obst Productions"
96,"Legendary Pictures,Warner Bros.,Syncopy"
97,"Cine Bazar,Toho Pictures"
98,"WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM)"
99,"Universal Pictures,Original Film,Ardustry Entertainment,Mediastream Film GmbH & Co. Productions KG"
100,"Paramount Pictures,Warner Bros.,Kennedy/Marshall Company, The"
101,"Ingenious Film Partners,Ingenious Media,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,Dune Entertainment III,Marvel Entertainment,Bad Hat Harry Productions,Big Screen Productions"
102,"Studio Babelsberg,Lionsgate,Color Force"
103,"Walt Disney Pictures,Jerry Bruckheimer Films,Saturn Films,Broken Road Productions,Junction Entertainment"
104,"Virtual Studios,Next Entertainment,Warner Bros.,Irwin Allen Productions,Radiant Productions,Synthesis Entertainment"
105,"Walt Disney Pictures,Team Todd,Tim Burton Productions,Roth Films,Legend3D"
106,"DreamWorks SKG,DreamWorks Animation"
107,"Universal Pictures,Atlas Entertainment,Legendary Pictures,Blizzard Entertainment"
108,"Paramount Pictures,Annapurna Pictures,Skydance Media"
109,"Dune Entertainment,Fox 2000 Pictures,Walden Media"
110,"Jerry Bruckheimer Films,Touchstone Pictures"
111,"Paramount Pictures,DreamWorks SKG,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,thinkfilm,SprocketHeads,Hasbro Studios,Revolution Sun Studios"
112,"France 3 Cinéma,Intermedia Films,Pathé Renn Productions,Egmond Film & Television,Warner Bros.,Pacifica Film,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,WR Universal Group"
113,"Warner Bros.,Heyday Films"
114,"Patalex IV Productions Limited,Warner Bros.,Heyday Films"
115,"Columbia Pictures,Weed Road Pictures,Forward Pass,Relativity Media,Overbrook Entertainment,Blue Light,GH Three"
116,"Village Roadshow Pictures,Original Film,Weed Road Pictures,Warner Bros.,Heyday Films,Overbrook Entertainment"
